             seconds   min  s       hPa    degC      %         degC   volts      ohms    degC 
  Record      RP_Time RP_Etime_m RP_Etime_s  RP_Press RP_Temp  RP_RH RP_DewptTemp Battery v_R0_OHMS R0_Temp 
       0    10584.951     0  0    953.20   21.65  49.44        10.60   7.971      9977    -9999
      24    10609.731     0 25    940.21   20.60  51.43        10.23   7.969     10000    -9999
      47    10633.481     0 49    927.93   19.51  54.01         9.95   7.945     10000    -9999
     204    10795.561     3 31    867.89   17.23  58.51         9.01   7.908     10000    -9999
     389    10985.942     6 41    800.00   16.96  17.79        -7.65   7.881     10000    -9999
    1481    12106.395    25 22    500.11   -8.48   5.06       -41.13   7.771      9977    -9999
    3267    13965.772    56 21    200.15  -57.19  16.64       -69.94   7.475     10000    -9999
    4375    15160.990    76 16    100.06  -71.90   6.04       -88.18   7.225     10000    -9999
    4477    15272.157    78  8     93.55  -70.17   6.41       -86.47   7.205     10000    -9999
    4478    15273.245    78  9     93.65  -70.25   6.43       -86.51   7.192     10000    -9999
    4479    15274.333    78 10     93.42  -70.25   6.41       -86.54   7.190     10000    -9999
    4480    15275.421    78 11     93.55  -70.29   6.42       -86.56   7.178     10000    -9999
    4481    15276.510    78 12     93.43  -70.29   6.45       -86.53   7.192     10023    -9999
    4482    15277.598    78 13     93.47  -70.30   6.46       -86.53   7.199     10000    -9999
    4483    15278.686    78 14     93.34  -70.29   6.49       -86.49   7.201     10000    -9999
    4484    15279.773    78 15     93.24  -70.25   6.44       -86.51   7.178     10000    -9999
    4485    15280.861    78 16     93.06  -70.26   6.47       -86.49   7.182      9977    -9999
    4486    15281.949    78 17     93.16  -70.27   6.49       -86.48   7.179      9977    -9999
    4487    15283.038    78 19     92.90  -70.27   6.46       -86.50   7.167     10000    -9999
    4488    15284.126    78 20     92.90  -70.28   6.46       -86.51   7.208     10000    -9999
    4489    15285.214    78 21     92.87  -70.17   6.50       -86.39   7.191     10023    -9999
    4490    15286.302    78 22     92.83  -70.13   6.46       -86.39   7.181     10000    -9999
    4491    15287.390    78 23     92.59  -70.21   6.46       -86.46   7.186     10000    -9999
    4492    15288.478    78 24     92.59  -70.26   6.49       -86.47   7.188     10000    -9999
    4493    15289.565    78 25     92.71  -70.28   6.49       -86.48   7.183      9977    -9999
    4494    15290.653    78 26     92.59  -70.27   6.49       -86.48   7.190     10000    -9999
    4495    15291.741    78 27     92.57  -70.20   6.52       -86.40   7.185     10000    -9999
    4496    15292.829    78 28     92.43  -70.23   6.48       -86.45   7.172     10000    -9999
    4497    15293.917    78 29     92.59  -70.06   6.49       -86.32   7.197     10000    -9999
    4498    15295.004    78 31     92.78  -69.85   6.52       -86.12   7.200     10000    -9999
    4499    15296.092    78 32     93.04  -69.87   6.51       -86.15   7.168     10023    -9999
    4500    15297.179    78 33     93.41  -69.82   6.48       -86.13   7.190     10000    -9999
    4501    15298.267    78 34     93.79  -69.90   6.46       -86.21   7.178     10000    -9999
    4502    15299.354    78 35     94.45  -69.94   6.45       -86.26   7.195     10000    -9999
    4503    15300.441    78 36     94.83  -70.01   6.43       -86.33   7.193     10000    -9999
    4504    15301.529    78 37     95.18  -70.14   6.37       -86.48   7.197     10000    -9999
    4505    15302.617    78 38     95.73  -70.32   6.38       -86.62   7.179     10000    -9999
    4506    15303.706    78 39     96.18  -70.54   6.37       -86.80   7.198     10000    -9999
    4507    15304.795    78 40     96.52  -70.71   6.30       -86.99   7.177     10000    -9999
